max_leaf_nodes,max_depth,train_score,test_score
6,6,0.9297529176675124,0.9297240079959368
6,4,0.9297529176675124,0.9297240079959368
6,15,0.9297529176675124,0.9297240079959368
6,14,0.9297529176675124,0.9297240079959368
6,13,0.9297529176675124,0.9297240079959368
6,12,0.9297529176675124,0.9297240079959368
6,11,0.9297529176675124,0.9297240079959368
6,10,0.9297529176675124,0.9297240079959368
6,9,0.9297529176675124,0.9297240079959368
6,8,0.9297529176675124,0.9297240079959368
6,7,0.9297529176675124,0.9297240079959368
6,5,0.9297529176675124,0.9297240079959368
15,5,0.9297922053286484,0.9297210429684372
7,7,0.9297588478763668,0.9297180777651024
7,8,0.9297588478763668,0.9297180777651024
7,6,0.9297588478763668,0.9297180777651024
7,5,0.9297588478763668,0.9297180777651024
7,9,0.9297588478763668,0.9297180777651024
7,10,0.9297588478763668,0.9297180777651024
7,11,0.9297588478763668,0.9297180777651024
7,12,0.9297588478763668,0.9297180777651024
7,13,0.9297588478763668,0.9297180777651024
7,14,0.9297588478763668,0.9297180777651024
7,15,0.9297588478763668,0.9297180777651024
5,6,0.9297440223487354,0.9297151126496856
5,5,0.9297440223487354,0.9297151126496856
5,4,0.9297440223487354,0.9297151126496856
5,15,0.9297440223487354,0.9297151126496856
5,14,0.9297440223487354,0.9297151126496856
5,13,0.9297440223487354,0.9297151126496856
5,12,0.9297440223487354,0.9297151126496856
5,11,0.9297440223487354,0.9297151126496856
5,10,0.9297440223487354,0.9297151126496856
5,9,0.9297440223487354,0.9297151126496856
5,8,0.9297440223487354,0.9297151126496856
5,7,0.9297440223487354,0.9297151126496856
8,11,0.929764778087969,0.9297151126496852
8,13,0.929764778087969,0.9297151126496852
8,14,0.929764778087969,0.9297151126496852
8,12,0.929764778087969,0.9297151126496852
9,13,0.9297677431923962,0.9297151126496852
8,15,0.929764778087969,0.9297151126496852
9,15,0.9297677431923962,0.9297151126496852
9,14,0.9297677431923962,0.9297151126496852
9,12,0.9297677431923962,0.9297151126496852
9,11,0.9297677431923962,0.9297151126496852
9,10,0.9297677431923962,0.9297151126496852
9,8,0.9297677431923962,0.9297151126496852
9,7,0.9297677431923962,0.9297151126496852
9,6,0.9297677431923962,0.9297151126496852
8,9,0.929764778087969,0.9297151126496852
9,5,0.9297677431923962,0.9297151126496852
8,10,0.929764778087969,0.9297151126496852
9,9,0.9297677431923962,0.9297151126496852
8,8,0.929764778087969,0.9297151126496852
8,6,0.929764778087969,0.9297151126496852
8,5,0.929764778087969,0.9297151126496852
7,4,0.9297588478763668,0.9297151126496852
8,7,0.929764778087969,0.9297151126496852
14,5,0.9297870163931532,0.929712147622186
12,7,0.9297825687282698,0.9297121475782272
11,8,0.9297781210688816,0.9297121475782272
11,9,0.9297781210688816,0.9297121475782272
11,10,0.9297781210688816,0.9297121475782272
11,11,0.9297781210688816,0.9297121475782272
11,13,0.9297781210688816,0.9297121475782272
11,14,0.9297781210688816,0.9297121475782272
11,15,0.9297781210688816,0.9297121475782272
12,9,0.9297825687282698,0.9297121475782272
12,8,0.9297825687282698,0.9297121475782272
11,6,0.9297781210688816,0.9297121475782272
12,10,0.9297825687282698,0.9297121475782272
12,11,0.9297825687282698,0.9297121475782272
12,12,0.9297825687282698,0.9297121475782272
12,13,0.9297825687282698,0.9297121475782272
12,14,0.9297825687282698,0.9297121475782272
12,15,0.9297825687282698,0.9297121475782272
11,7,0.9297781210688816,0.9297121475782272
11,12,0.9297781210688816,0.9297121475782272
4,14,0.9297403159682014,0.9297121475342685
4,5,0.9297403159682014,0.9297121475342685
8,4,0.9297632955357552,0.9297121475342685
9,4,0.9297662606401824,0.9297121475342685
4,15,0.9297403159682014,0.9297121475342685
4,13,0.9297403159682014,0.9297121475342685
4,12,0.9297403159682014,0.9297121475342685
4,11,0.9297403159682014,0.9297121475342685
4,10,0.9297403159682014,0.9297121475342685
4,9,0.9297403159682014,0.9297121475342685
4,8,0.9297403159682014,0.9297121475342685
4,7,0.9297403159682014,0.9297121475342685
4,6,0.9297403159682014,0.9297121475342685
4,4,0.9297403159682014,0.9297121475342685
10,5,0.9297744146828524,0.929712147534268
10,15,0.9297744146828524,0.929712147534268
10,12,0.9297744146828524,0.929712147534268
10,10,0.9297744146828524,0.92970918246281
10,13,0.9297744146828524,0.92970918246281
10,6,0.9297744146828524,0.92970918246281
10,14,0.9297744146828524,0.92970918246281
10,11,0.9297744146828524,0.92970918246281
10,9,0.9297744146828524,0.92970918246281
10,7,0.9297744146828524,0.92970918246281
10,8,0.9297744146828524,0.92970918246281
13,5,0.9297833100043766,0.9297062174353108
11,5,0.9297773797900272,0.9297032523638524
14,4,0.9297773797872796,0.9297032523638524
12,5,0.9297818274494156,0.9297032523638524
13,4,0.9297773797872796,0.9297032523638524
15,4,0.9297773797872796,0.9297032523638524
13,11,0.9297847925593375,0.9297002872923944
13,15,0.9297847925593375,0.9297002872923944
13,14,0.9297847925593375,0.9297002872923944
13,13,0.9297847925593375,0.9297002872923944
13,12,0.9297847925593375,0.9297002872923944
13,10,0.9297847925593375,0.9297002872923944
13,9,0.9297847925593375,0.9297002872923944
13,7,0.9297847925593375,0.9297002872923944
13,6,0.9297847925593375,0.9297002872923944
12,6,0.9297825687282698,0.9297002872923944
13,8,0.9297847925593375,0.9297002872923944
11,4,0.929772190854532,0.9297002872484356
15,14,0.9297959117064348,0.9297002872484352
15,13,0.9297959117064348,0.9297002872484352
15,12,0.9297959117064348,0.9297002872484352
15,11,0.9297959117064348,0.9297002872484352
15,10,0.9297959117064348,0.9297002872484352
15,9,0.9297959117064348,0.9297002872484352
15,8,0.9297959117064348,0.9297002872484352
15,7,0.9297959117064348,0.9297002872484352
15,6,0.9297951704275804,0.9297002872484352
15,15,0.9297959117064348,0.9297002872484352
12,4,0.9297744146828524,0.9296973221330184
10,4,0.9297707082995708,0.9296973221330184
14,6,0.9297899814948328,0.9296943570176012
14,15,0.9297899814948328,0.9296913919461428
14,14,0.9297899814948328,0.9296913919461428
14,13,0.9297899814948328,0.9296913919461428
14,12,0.9297899814948328,0.9296913919461428
14,11,0.9297899814948328,0.9296913919461428
14,10,0.9297899814948328,0.9296913919461428
14,9,0.9297899814948328,0.9296913919461428
14,8,0.9297899814948328,0.9296913919461428
14,7,0.9297899814948328,0.9296913919461428
